player_name,popularity_score,reputation_score,reputation_confidence,videos_found,total_views,average_engagement_rate,comment_count,article_count
zekken,93.34,76.63,100.0,10,2964508,0.04269563587987928,112,3
Boaster,91.17,57.72,50.0,10,14211472,0.03012268931350285,148,0
TenZ,88.13,72.63,100.0,9,10117379,0.027863640140879227,150,28
aspas,84.6,75.24,100.0,10,2117782,0.032289124486377496,104,3
yay,81.27,59.88,50.0,10,1844123,0.028385392625364363,127,0
something,79.23,54.02,50.0,10,4216783,0.020485269316431028,136,0
Derke,77.99,77.1,66.67,10,1523181,0.02488697153662951,97,1
Jinggg,75.23,52.21,50.0,10,2047844,0.019168508479778915,138,0
Alfajer,72.68,77.11,66.67,10,1369159,0.01797326070142333,95,1
Chronicle,68.42,52.35,46.0,10,521915,0.017731950957770467,46,0
bang,0.0,99.46,16.67,0,0,0.0,0,1
