Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Valorant Champions 2025,2283,Playoffs,5080,Upper Quarterfinals,33667
Valorant Champions 2025,2283,Playoffs,5080,Upper Semifinals,33668
Valorant Champions 2025,2283,Playoffs,5080,Upper Final,33669
Valorant Champions 2025,2283,Playoffs,5080,Grand Final,33670
Valorant Champions 2025,2283,Playoffs,5080,Lower Round 1,33671
Valorant Champions 2025,2283,Playoffs,5080,Lower Round 2,33672
Valorant Champions 2025,2283,Playoffs,5080,Lower Round 3,33673
Valorant Champions 2025,2283,Playoffs,5080,Lower Final,33674
Valorant Champions 2025,2283,Group Stage,5079,Opening (A),33651
Valorant Champions 2025,2283,Group Stage,5079,Winner's (A),33652
Valorant Champions 2025,2283,Group Stage,5079,Elimination (A),33653
Valorant Champions 2025,2283,Group Stage,5079,Decider (A),33654
Valorant Champions 2025,2283,Group Stage,5079,Opening (B),33655
Valorant Champions 2025,2283,Group Stage,5079,Winner's (B),33656
Valorant Champions 2025,2283,Group Stage,5079,Elimination (B),33657
Valorant Champions 2025,2283,Group Stage,5079,Decider (B),33658
Valorant Champions 2025,2283,Group Stage,5079,Opening (C),33659
Valorant Champions 2025,2283,Group Stage,5079,Winner's (C),33660
Valorant Champions 2025,2283,Group Stage,5079,Elimination (C),33661
Valorant Champions 2025,2283,Group Stage,5079,Decider (C),33662
Valorant Champions 2025,2283,Group Stage,5079,Opening (D),33663
Valorant Champions 2025,2283,Group Stage,5079,Winner's (D),33664
Valorant Champions 2025,2283,Group Stage,5079,Elimination (D),33665
Valorant Champions 2025,2283,Group Stage,5079,Decider (D),33666
Valorant Champions 2025,2283,All Stages,,All Match Types,
VCT 2025: Pacific Stage 2,2500,Playoffs,4862,Upper Round 1,33336
VCT 2025: Pacific Stage 2,2500,Playoffs,4862,Upper Semifinals,33337
VCT 2025: Pacific Stage 2,2500,Playoffs,4862,Upper Final,33338
VCT 2025: Pacific Stage 2,2500,Playoffs,4862,Grand Final,33339
VCT 2025: Pacific Stage 2,2500,Playoffs,4862,Lower Round 1,33340
