Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Champions 2025,2283,Group Stage,5079,Opening (A),Paper Rex vs Xi Lai Gaming,542195,Bind,233397
Valorant Champions 2025,2283,Group Stage,5079,Opening (A),Paper Rex vs Xi Lai Gaming,542195,Sunset,233398
Valorant Champions 2025,2283,Group Stage,5079,Opening (A),GIANTX vs Sentinels,542196,Corrode,233400
Valorant Champions 2025,2283,Group Stage,5079,Opening (A),GIANTX vs Sentinels,542196,Sunset,233401
Valorant Champions 2025,2283,Group Stage,5079,Opening (A),GIANTX vs Sentinels,542196,Haven,233402
Valorant Champions 2025,2283,Group Stage,5079,Opening (C),NRG vs EDward Gaming,542207,Abyss,233430
Valorant Champions 2025,2283,Group Stage,5079,Opening (C),NRG vs EDward Gaming,542207,Corrode,233431
Valorant Champions 2025,2283,Group Stage,5079,Opening (C),Team Liquid vs DRX,542205,Abyss,233427
Valorant Champions 2025,2283,Group Stage,5079,Opening (C),Team Liquid vs DRX,542205,Bind,233428
Valorant Champions 2025,2283,Group Stage,5079,Opening (D),Dragon Ranger Gaming vs T1,542212,Lotus,233445
Valorant Champions 2025,2283,Group Stage,5079,Opening (D),Dragon Ranger Gaming vs T1,542212,Sunset,233446
Valorant Champions 2025,2283,Group Stage,5079,Opening (D),G2 Esports vs Team Heretics,542211,Corrode,233442
Valorant Champions 2025,2283,Group Stage,5079,Opening (D),G2 Esports vs Team Heretics,542211,Lotus,233443
Valorant Champions 2025,2283,Group Stage,5079,Opening (B),Bilibili Gaming vs MIBR,542200,Haven,233412
Valorant Champions 2025,2283,Group Stage,5079,Opening (B),Bilibili Gaming vs MIBR,542200,Corrode,233413
Valorant Champions 2025,2283,Group Stage,5079,Opening (B),Rex Regum Qeon vs FNATIC,542201,Ascent,233415
Valorant Champions 2025,2283,Group Stage,5079,Opening (B),Rex Regum Qeon vs FNATIC,542201,Abyss,233416
Valorant Champions 2025,2283,Group Stage,5079,Winner's (A),Paper Rex vs GIANTX,542197,Ascent,233403
Valorant Champions 2025,2283,Group Stage,5079,Winner's (A),Paper Rex vs GIANTX,542197,Lotus,233404
Valorant Champions 2025,2283,Group Stage,5079,Winner's (A),Paper Rex vs GIANTX,542197,Sunset,233405
Valorant Champions 2025,2283,Group Stage,5079,Winner's (C),DRX vs NRG,542208,Haven,233433
Valorant Champions 2025,2283,Group Stage,5079,Winner's (C),DRX vs NRG,542208,Corrode,233434
Valorant Champions 2025,2283,Group Stage,5079,Winner's (C),DRX vs NRG,542208,Lotus,233435
Valorant Champions 2025,2283,Group Stage,5079,Winner's (D),Team Heretics vs T1,542213,Lotus,233448
Valorant Champions 2025,2283,Group Stage,5079,Winner's (D),Team Heretics vs T1,542213,Sunset,233449
Valorant Champions 2025,2283,Group Stage,5079,Winner's (B),MIBR vs FNATIC,542202,Bind,233418
Valorant Champions 2025,2283,Group Stage,5079,Winner's (B),MIBR vs FNATIC,542202,Abyss,233419
Valorant Champions 2025,2283,Group Stage,5079,Winner's (B),MIBR vs FNATIC,542202,Haven,233420
Valorant Champions 2025,2283,Group Stage,5079,Elimination (C),Team Liquid vs EDward Gaming,542209,Sunset,233436
Valorant Champions 2025,2283,Group Stage,5079,Elimination (C),Team Liquid vs EDward Gaming,542209,Abyss,233437
Valorant Champions 2025,2283,Group Stage,5079,Elimination (C),Team Liquid vs EDward Gaming,542209,Bind,233438
Valorant Champions 2025,2283,Group Stage,5079,Elimination (A),Xi Lai Gaming vs Sentinels,542198,Abyss,233406
Valorant Champions 2025,2283,Group Stage,5079,Elimination (A),Xi Lai Gaming vs Sentinels,542198,Lotus,233407
Valorant Champions 2025,2283,Group Stage,5079,Elimination (A),Xi Lai Gaming vs Sentinels,542198,Haven,233408
Valorant Champions 2025,2283,Group Stage,5079,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,542203,Sunset,233421
Valorant Champions 2025,2283,Group Stage,5079,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,542203,Lotus,233422
Valorant Champions 2025,2283,Group Stage,5079,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,542203,Abyss,233423
Valorant Champions 2025,2283,Group Stage,5079,Elimination (D),G2 Esports vs Dragon Ranger Gaming,542214,Lotus,233451
Valorant Champions 2025,2283,Group Stage,5079,Elimination (D),G2 Esports vs Dragon Ranger Gaming,542214,Abyss,233452
Valorant Champions 2025,2283,Group Stage,5079,Decider (C),DRX vs Team Liquid,542210,Corrode,233439
Valorant Champions 2025,2283,Group Stage,5079,Decider (C),DRX vs Team Liquid,542210,Abyss,233440
Valorant Champions 2025,2283,Group Stage,5079,Decider (A),GIANTX vs Xi Lai Gaming,542199,Bind,233409
Valorant Champions 2025,2283,Group Stage,5079,Decider (A),GIANTX vs Xi Lai Gaming,542199,Ascent,233410
Valorant Champions 2025,2283,Group Stage,5079,Decider (D),T1 vs G2 Esports,542215,Lotus,233454
Valorant Champions 2025,2283,Group Stage,5079,Decider (D),T1 vs G2 Esports,542215,Corrode,233455
Valorant Champions 2025,2283,Group Stage,5079,Decider (B),MIBR vs Rex Regum Qeon,542204,Corrode,233424
Valorant Champions 2025,2283,Group Stage,5079,Decider (B),MIBR vs Rex Regum Qeon,542204,Abyss,233425
