tournament,tournament_id,stage,stage_id,match_type,match_type_id
Valorant Champions 2025,2283,Group Stage,5079,Opening (D),33663
VCT 2025: China Stage 2,2499,Group Stage,4857,Week 2,32229
Valorant Masters Bangkok 2025,2281,Playoffs,4414,Upper Semifinals,29481
Valorant Masters Bangkok 2025,2281,Playoffs,4414,Lower Round 1,29484
Valorant Champions 2025,2283,All Stages,0,All Match Types,0
VCT 2025: Pacific Stage 2,2500,Group Stage,4858,Week 2,32274
Valorant Masters Toronto 2025,2282,Playoffs,4416,Lower Round 2,31919
Valorant Champions 2025,2283,Group Stage,5079,Elimination (C),33661
VCT 2025: EMEA Stage 2,2498,All Stages,0,All Match Types,0
VCT 2025: China Stage 1,2359,Group Stage,4570,Week 3,29564
VCT 2025: Americas Stage 1,2347,Playoffs,4542,Lower Round 3,30817
Valorant Masters Bangkok 2025,2281,Swiss Stage,4415,Round 2 (1-0),29478
VCT 2025: Pacific Stage 1,2379,Playoffs,4610,Lower Round 3,30637
VCT 2025: Americas Kickoff,2274,Main Event,4405,Upper Round 1,28607
Valorant Champions 2025,2283,Group Stage,5079,Decider (B),33658
VCT 2025: Pacific Kickoff,2277,Main Event,4408,Upper Round 1,28700
VCT 2025: Americas Stage 2,2501,All Stages,0,All Match Types,0
VCT 2025: Americas Stage 2,2501,Group Stage,4859,Week 5,32393
VCT 2025: Pacific Stage 1,2379,Group Stage,4609,Week 2,29913
VCT 2025: Pacific Stage 2,2500,Group Stage,4858,Week 4,32276
VCT 2025: Americas Kickoff,2274,Main Event,4405,Lower Final,28616
VCT 2025: China Stage 2,2499,Playoffs,4863,Upper Semifinals,33218
VCT 2025: Americas Stage 2,2501,Playoffs,4861,Upper Round 1,33347
VCT 2025: Americas Stage 1,2347,All Stages,0,All Match Types,0
VCT 2025: China Kickoff,2275,Main Event,4406,Upper Final,28732
VCT 2025: Pacific Kickoff,2277,All Stages,0,All Match Types,0
VCT 2025: China Kickoff,2275,Main Event,4406,Upper Quarterfinals,28730
VCT 2025: Pacific Kickoff,2277,Main Event,4408,Upper Final,28703
VCT 2025: Americas Stage 1,2347,Playoffs,4542,Lower Round 2,30816
