tournament,stage,match_type,match_name,action,map,team_id
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,pick,Haven,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,pick,Corrode,188
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,ban,Icebox,2
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,ban,Haven,11060
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,pick,Haven,14
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,ban,Bind,397
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,ban,Haven,2
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,G2 Esports vs LEVIATÁN,ban,Haven,11058
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,ban,Icebox,188
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,ban,Icebox,7035
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,ban,Ascent,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Paper Rex vs DetonatioN FocusMe,ban,Sunset,278
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,pick,Sunset,278
VCT 2025: China Stage 2,Group Stage,Week 4,Dragon Ranger Gaming vs Xi Lai Gaming,pick,Haven,13581
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,ban,Pearl,474
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,pick,Pearl,397
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,ban,Haven,4915
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,ban,Fracture,2
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,ban,Bind,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,pick,Sunset,397
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,pick,Haven,2059
