tournament,stage,match_type,match_name,map,round_number,loadout_value,remaining_credits,type,outcome,team_id
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Icebox,3,21.0k,0.8k,Full buy: 20k+,Win,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Fracture,8,22.4k,17.2k,Full buy: 20k+,Win,397
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Fracture,15,21.1k,0.8k,Full buy: 20k+,Win,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,Pearl,1,3.3k,0.1k,Eco: 0-5k,Win,7035
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Haven,17,22.2k,13.9k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,Icebox,7,21.0k,6.9k,Full buy: 20k+,Loss,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,Icebox,17,23.5k,25.7k,Full buy: 20k+,Loss,7035
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,Haven,14,16.8k,2.1k,Semi-buy: 10-20k,Win,397
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Lotus,2,1.4k,9.2k,Eco: 0-5k,Loss,2593
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,Pearl,21,24.0k,8.4k,Full buy: 20k+,Win,1001
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,Ascent,18,22.6k,5.1k,Full buy: 20k+,Win,1184
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Icebox,8,21.7k,4.5k,Full buy: 20k+,Loss,12694
Champions Tour 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,Lotus,6,20.9k,9.3k,Full buy: 20k+,Win,4915
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Split,12,17.1k,1.2k,Semi-buy: 10-20k,Loss,8877
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Split,5,21.6k,9.3k,Full buy: 20k+,Loss,4915
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Fracture,13,3.7k,0.3k,Eco: 0-5k,Win,8304
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Haven,13,3.7k,0.2k,Eco: 0-5k,Loss,466
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Lotus,9,17.2k,3.6k,Semi-buy: 10-20k,Loss,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,9,19.2k,4.5k,Semi-buy: 10-20k,Win,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,Ascent,8,24.8k,11.4k,Full buy: 20k+,Win,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,Lotus,6,24.4k,4.3k,Full buy: 20k+,Win,466
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Split,19,24.6k,36.6k,Full buy: 20k+,Win,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Pearl,13,3.7k,0.2k,Eco: 0-5k,Loss,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Ascent,7,23.4k,19.4k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Ascent,16,20.6k,0.5k,Full buy: 20k+,Loss,918
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Split,15,17.0k,13.0k,Semi-buy: 10-20k,Loss,918
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Split,22,15.0k,0.4k,Semi-buy: 10-20k,Win,918
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Haven,3,22.1k,11.3k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Haven,18,11.0k,8.9k,Semi-buy: 10-20k,Loss,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Pearl,14,2.4k,9.9k,Eco: 0-5k,Loss,14
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Lotus,2,3.1k,8.6k,Eco: 0-5k,Loss,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Ascent,1,3.8k,0.2k,Eco: 0-5k,Win,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Lotus,12,29.0k,23.7k,Full buy: 20k+,Win,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,Haven,11,22.4k,17.2k,Full buy: 20k+,Win,8304
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Split,15,22.3k,13.6k,Full buy: 20k+,Loss,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Split,23,21.2k,1.0k,Full buy: 20k+,Loss,17
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Haven,2,17.3k,0.4k,Semi-buy: 10-20k,Win,6199
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Lotus,14,2.2k,8.5k,Eco: 0-5k,Win,6199
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,Haven,12,27.2k,10.8k,Full buy: 20k+,Loss,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,Icebox,15,19.1k,7.7k,Semi-buy: 10-20k,Win,17
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Lotus,17,9.4k,6.8k,Semi-eco: 5-10k,Loss,8185
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Haven,2,10.5k,1.1k,Semi-buy: 10-20k,Win,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,Icebox,16,21.9k,2.1k,Full buy: 20k+,Loss,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,20,21.7k,0.5k,Full buy: 20k+,Loss,624
Champions Tour 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,Haven,5,21.2k,6.9k,Full buy: 20k+,Win,15072
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Lotus,2,17.0k,3.3k,Semi-buy: 10-20k,Win,2406
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Fracture,14,2.6k,8.2k,Eco: 0-5k,Win,120
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Haven,2,16.2k,2.2k,Semi-buy: 10-20k,Win,120
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,Split,4,20.2k,2.0k,Full buy: 20k+,Win,188
