tournament,stage,match_type,match_name,map,agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,econ,spike_plants,spike_defuses,player_id,team_id
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,All Maps,"breach, viper",7,1,0,0,0,0,1,0,0.0,51,6,0,458,2593
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Abyss,cypher,2,1,0,0,1,0,0,0,0.0,72,0,0,26171,11981
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Corrode,yoru,2,3,0,0,0,0,0,0,0.0,65,0,0,35013,8185
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Ascent,cypher,0,0,0,0,0,0,0,0,0.0,19,0,0,14950,15072
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Bind,raze,3,1,0,0,2,0,0,0,0.0,42,0,1,8480,7386
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,All Maps,"brimstone, omen",5,1,0,0,1,0,0,0,0.0,39,2,1,20240,7386
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,All Maps,omen,4,2,1,1,1,0,0,0,0.0,52,15,1,8082,120
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,All Maps,"neon, yoru",8,4,1,0,0,0,0,0,0.0,58,0,2,21661,15072
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Sunset,neon,1,0,0,0,0,0,0,0,0.0,34,1,0,601,120
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Sunset,raze,5,2,1,0,0,0,0,0,0.0,58,1,0,25906,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Sunset,fade,2,2,0,0,0,0,0,0,0.0,45,8,1,2168,474
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Ascent,yoru,1,0,1,0,0,0,0,0,0.0,56,0,1,18350,1001
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,Sunset,sova,5,2,0,0,2,0,0,0,0.0,95,4,1,485,14
VCT 2025: Pacific Stage 2,Group Stage,Week 4,DRX vs Global Esports,Icebox,viper,3,1,0,0,0,0,0,0,0.0,54,2,0,13219,918
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Icebox,sova,1,0,0,0,0,0,0,0,0.0,27,4,0,9801,624
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,All Maps,"fade, sova",9,1,0,0,0,0,0,0,0.0,65,9,0,15500,11058
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Sunset,breach,2,0,0,0,0,0,0,0,0.0,29,3,0,37017,13581
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,All Maps,"jett, neon",6,5,1,1,0,0,0,0,0.0,49,0,1,12793,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Haven,sova,3,0,0,0,0,0,0,0,0.0,67,3,1,10971,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Haven,yoru,2,0,0,0,0,0,0,0,0.0,29,3,0,5022,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Liquid vs KOI,Split,viper,6,1,0,0,0,0,0,0,0.0,58,0,0,457,474
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,Lotus,tejo,3,1,0,0,0,0,0,0,0.0,42,1,0,5568,397
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,All Maps,"breach, sova",4,3,0,0,1,0,1,0,0.0,58,7,2,10971,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Icebox,viper,6,0,0,0,1,0,0,0,0.0,61,0,1,438,2593
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,viper,1,3,0,0,0,0,0,0,0.0,64,2,1,438,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,All Maps,"sova, tejo",4,1,0,0,2,0,0,0,0.0,46,3,2,5796,918
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Split,breach,2,0,0,0,1,0,0,0,0.0,39,1,0,25221,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,All Maps,"brimstone, omen",5,3,1,1,0,1,0,0,0.0,63,2,1,42901,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,All Maps,"kayo, omen, tejo",8,4,0,0,0,1,0,0,0.0,50,10,1,7043,466
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,Haven,iso,5,1,0,0,0,0,0,0,0.0,78,1,0,4428,918
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,All Maps,"sova, tejo",5,0,0,0,1,1,0,0,0.0,44,6,1,2615,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,All Maps,"brimstone, omen",7,2,0,0,1,1,0,0,0.0,60,1,0,16215,466
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Lotus,omen,1,1,0,0,0,0,0,0,0.0,40,0,0,8497,878
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,Fracture,cypher,0,3,1,0,1,0,0,0,0.0,39,0,2,13788,8304
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,Ascent,killjoy,3,3,0,0,0,0,0,0,0.0,66,1,0,604,120
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Haven,vyse,2,1,0,0,0,0,0,0,0.0,53,1,0,7873,11058
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,All Maps,"iso, vyse",2,0,1,0,1,1,0,0,0.0,48,1,1,11921,15072
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Pearl,yoru,6,3,0,0,1,0,0,0,0.0,84,1,3,4004,2
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,Lotus,omen,5,1,0,0,0,0,0,0,0.0,57,0,1,5395,7386
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Lotus,breach,0,0,0,0,0,0,0,0,0.0,41,3,0,4581,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Abyss,sova,3,0,0,0,0,0,0,0,0.0,67,4,1,15500,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Abyss,jett,0,0,0,0,0,0,0,0,0.0,33,0,0,37494,12685
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Bind,fade,1,0,1,0,0,0,1,0,0.0,49,0,2,29833,14
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,killjoy,3,2,0,0,0,0,0,0,0.0,59,0,0,34684,14419
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,All Maps,"breach, kayo, skye",9,1,0,0,2,0,0,0,0.0,57,9,1,309,474
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,astra,1,1,0,0,0,0,0,0,0.0,40,0,0,2858,8877
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Split,viper,4,1,0,0,1,0,0,0,0.0,66,0,1,8447,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Split,omen,1,0,0,0,0,0,0,0,0.0,33,1,0,19691,14419
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Fracture,cypher,2,0,0,0,0,1,0,0,0.0,36,0,0,4874,466
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,All Maps,"breach, viper",8,2,0,0,0,0,0,0,0.0,46,7,0,2489,17
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Lotus,breach,0,0,0,0,0,0,0,0,0.0,27,1,0,2615,5448
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,All Maps,"skye, sova",4,0,0,0,0,0,0,0,0.0,45,8,0,1533,5248
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,Split,breach,3,0,0,0,0,0,0,0,0.0,35,4,1,1586,6961
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,FURIA vs Evil Geniuses,Abyss,vyse,2,0,0,0,0,0,0,0,0.0,50,1,0,4927,5248
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,Split,cypher,5,0,0,0,0,2,0,0,0.0,70,1,2,24007,2355
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,All Maps,"chamber, viper, vyse",11,2,0,0,1,1,0,0,0.0,47,3,5,7873,11058
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,brimstone,2,0,1,0,0,1,0,1,0.0,45,0,0,36415,13581
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Ascent,kayo,2,0,0,0,0,0,0,0,0.0,40,4,0,6959,14419
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Bind,fade,3,1,0,0,1,0,0,0,0.0,35,4,0,3017,1120
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Ascent,sova,2,1,0,0,0,0,0,0,0.0,64,2,0,4181,14419
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Abyss,omen,5,0,0,0,0,0,0,0,0.0,37,2,0,11225,
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Haven,sova,4,1,0,0,0,0,0,0,0.0,43,12,0,4678,8185
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Corrode,omen,2,1,0,0,0,0,0,0,0.0,45,2,0,3885,11058
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Ascent,omen,0,1,0,0,0,0,0,0,0.0,48,2,0,3880,2
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,Lotus,fade,2,0,0,0,0,0,0,0,0.0,31,4,0,21668,7386
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,All Maps,"fade, sova",7,1,1,0,1,0,1,0,0.0,56,2,1,3826,2406
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,Lotus,viper,4,2,0,0,1,0,0,0,0.0,52,0,3,11118,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,All Maps,"omen, viper",12,2,1,0,2,0,1,0,0.0,57,4,2,8549,2359
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Haven,killjoy,3,1,0,0,0,1,1,0,0.0,55,0,1,7871,188
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,cypher,4,1,0,0,1,0,0,0,0.0,63,0,0,34684,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Bind,gekko,1,0,0,0,0,0,0,0,0.0,31,4,0,1475,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Haven,sova,4,2,0,0,0,0,0,0,0.0,67,4,0,3685,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Ascent,kayo,3,1,1,0,0,0,0,0,0.0,53,3,0,1475,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Sunset,yoru,2,1,1,0,1,0,0,0,0.0,54,0,1,10307,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Icebox,jett,5,2,0,0,0,0,0,0,0.0,93,0,1,20144,397
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Ascent,jett,3,3,0,0,1,0,0,0,0.0,81,0,1,20144,397
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,All Maps,"cypher, viper",9,1,0,0,1,0,0,0,0.0,55,3,2,458,2593
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,All Maps,"cypher, viper",12,4,1,1,2,1,0,0,0.0,68,2,1,457,474
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,Bind,gekko,0,1,0,0,0,0,0,0,0.0,34,6,0,25025,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Bind,brimstone,3,1,0,0,2,0,0,0,0.0,64,0,0,14225,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,Corrode,vyse,2,0,1,0,0,0,0,0,0.0,66,0,2,35013,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,Corrode,neon,3,1,0,0,0,0,0,0,0.0,56,1,0,2348,466
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,Bind,viper,3,1,0,0,0,0,0,0,0.0,61,0,1,1916,8185
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Haven,yoru,4,1,0,0,0,0,0,0,0.0,55,1,1,24895,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,sage,4,1,0,0,0,0,0,0,0.0,51,8,0,25255,8304
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,sova,1,0,0,0,0,0,0,0,0.0,31,0,2,4866,878
