tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker_score,team_a_defender_score,team_a_overtime_score,team_b,team_b_score,team_b_attacker_score,team_b_defender_score,team_b_overtime_score,duration
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Bind,Team Vitality,10,5,5,0,BBL Esports,13,6,7,0,50:28
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Ascent,Paper Rex,13,4,9,0,Team Heretics,11,3,8,0,55:36
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,Split,T1,12,6,6,0,ZETA DIVISION,14,6,6,2,59:31
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Ascent,Gen.G,11,2,9,0,Rex Regum Qeon,13,3,10,0,56:44
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Split,EDward Gaming,7,4,3,0,G2 Esports,13,5,8,0,41:45
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,T1,13,9,4,0,Team Vitality,5,2,3,0,42:08
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Abyss,FNATIC,5,1,4,0,Mega Minors,13,2,11,0,40:41
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,Ascent,KOI,7,4,3,0,FNATIC,13,5,8,0,47:44
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,Ascent,Team Liquid,13,11,2,0,FNATIC,1,0,1,0,33:06
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,Haven,Karmine Corp,14,5,7,2,Gentle Mates,12,5,7,0,1:30:25
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Icebox,Gentle Mates,6,5,1,0,KOI,13,6,7,0,39:27
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Icebox,Wolves Esports,7,6,1,0,Bilibili Gaming,13,7,6,0,43:47
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Pearl,Sentinels,13,8,5,0,100 Thieves,5,1,4,0,47:37
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Split,EDward Gaming,13,10,3,0,T1,7,5,2,0,55:34
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Pearl,G2 Esports,13,6,7,0,Sentinels,8,2,6,0,50:39
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Corrode,Gentle Mates,12,9,3,0,Team Heretics,14,9,3,2,1:00:46
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,Lotus,TALON,4,3,1,0,ZETA DIVISION,13,4,9,0,49:08
VCT 2025: China Stage 1,Group Stage,Week 3,TYLOO vs Titan Esports Club,Icebox,TYLOO,8,5,3,0,Titan Esports Club,13,6,7,0,47:16
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Pearl,G2 Esports,12,6,6,0,MIBR,14,6,6,2,1:10:31
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,Split,ZETA DIVISION,9,7,2,0,Nongshim RedForce,13,8,5,0,53:44
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Abyss,DetonatioN FocusMe,14,6,6,2,Rex Regum Qeon,12,6,6,0,1:15:45
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,13,5,7,1,T1,15,5,7,3,1:04:38
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,Sunset,Trace Esports,13,7,6,0,EDward Gaming,8,3,5,0,58:38
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Xi Lai Gaming,6,4,2,0,Sentinels,13,5,8,0,43:08
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Apeks vs FNATIC,Lotus,Apeks,5,3,2,0,FNATIC,13,4,9,0,46:30
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,Haven,EDward Gaming,13,9,4,0,Titan Esports Club,5,2,3,0,40:48
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,Icebox,GIANTX,6,3,3,0,Natus Vincere,13,4,9,0,43:11
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Ascent,T1,7,3,4,0,Rex Regum Qeon,13,4,9,0,49:16
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Haven,Bilibili Gaming,13,11,2,0,Wolves Esports,5,4,1,0,40:12
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Haven,LOUD,7,6,1,0,KRÜ Esports,13,7,6,0,49:07
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,Team Liquid,13,9,4,0,KOI,4,1,3,0,36:55
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Lotus,Nova Esports,6,5,1,0,All Gamers,13,6,7,0,42:57
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Icebox,Paper Rex,15,6,6,3,FNATIC,17,6,6,5,1:08:59
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Lotus,Team Heretics,13,8,5,0,GIANTX,8,4,4,0,46:48
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Lotus,Karmine Corp,5,5,0,0,FUT Esports,13,6,7,0,45:17
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DetonatioN FocusMe vs Global Esports,Pearl,DetonatioN FocusMe,11,5,6,0,Global Esports,13,6,7,0,1:01:31
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,Fracture,All Gamers,5,3,2,0,Bilibili Gaming,13,4,9,0,34:59
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Haven,Sentinels,13,9,4,0,2Game Esports,4,1,3,0,53:37
VCT 2025: Americas Kickoff,Main Event,Lower Final,Sentinels vs MIBR,Lotus,Sentinels,13,9,4,0,MIBR,7,4,3,0,54:21
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Abyss,Team Liquid,13,9,4,0,EDward Gaming,6,3,3,0,39:16
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Corrode,MIBR,14,7,5,2,Mega Minors,16,7,5,4,1:11:54
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,Haven,GIANTX,13,9,4,0,Natus Vincere,4,1,3,0,37:42
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Ascent,BOOM Esports,9,4,5,0,T1,13,5,8,0,57:51
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,Lotus,FNATIC,10,7,3,0,Team Heretics,13,8,5,0,55:42
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,Icebox,DRX,10,9,1,0,Paper Rex,13,10,3,0,50:55
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Fracture,Cloud9,13,8,5,0,Mega Minors,5,1,4,0,38:15
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Lotus,Paper Rex,9,5,4,0,ZETA DIVISION,13,6,7,0,53:05
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Natus Vincere,Split,FNATIC,13,8,5,0,Natus Vincere,5,1,4,0,47:09
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,Split,TALON,10,7,3,0,ZETA DIVISION,13,8,5,0,53:40
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,BOOM Esports vs Gen.G,Split,BOOM Esports,8,2,6,0,Gen.G,13,3,10,0,1:07:36
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Icebox,Titan Esports Club,13,11,2,0,Dragon Ranger Gaming,3,2,1,0,33:58
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Split,G2 Esports,12,6,6,0,100 Thieves,14,6,6,2,1:00:10
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Icebox,Sentinels,9,6,3,0,Cloud9,13,7,6,0,51:39
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,FUT Esports,7,4,3,0,Gentle Mates,13,5,8,0,45:43
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,Lotus,T1,12,6,6,0,Paper Rex,14,6,6,2,50:36
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,Lotus,BOOM Esports,15,7,5,3,ZETA DIVISION,13,7,5,1,1:07:11
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Haven,Team Liquid,12,5,7,0,Gentle Mates,14,5,7,2,55:47
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Pearl,DetonatioN FocusMe,13,11,2,0,Paper Rex,1,0,1,0,34:24
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,9,7,2,0,Paper Rex,13,8,5,0,45:55
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,Fracture,T1,13,6,7,0,ZETA DIVISION,7,1,6,0,54:22
