abbreviated,full_name
LEV,LEVIATÁN
TE,Trace Esports
VIT,Team Vitality
NAVI,Natus Vincere
TLN,TALON
KC,Karmine Corp
GE,Global Esports
HS,Pure Aim
DRX,DRX
ZETA,ZETA DIVISION
MIBR,MIBR
TH,Team Heretics
AG,All Gamers
RRQ,Rex Regum Qeon
BBL,BBL Esports
JDG,JDG Esports
PRX,Paper Rex
FUR,FURIA
NOVA,Nova Esports
KRÜ,KRÜ Esports
APK,Apeks
C9,Cloud9
BLG,Bilibili Gaming
T1,T1
EMEA,Team EMEA
NRG,NRG
BME,BOOM Esports
GX,GIANTX
FRA,Team France
GEN,Gen.G
TEC,Titan Esports Club
G2,G2 Esports
EDG,EDward Gaming
THAi,Team Thailand
TS,Team Secret
M8,Gentle Mates
FUT,FUT Esports
TL,Team Liquid
ALP,Team Alpha
EG,Evil Geniuses
XLG,Xi Lai Gaming
WOR,Team World
MKOI,KOI
TYL,TYLOO
WOL,Wolves Esports
LOUD,LOUD
2G,2Game Esports
NS,Nongshim RedForce
FNC,FNATIC
DFM,DetonatioN FocusMe
CJMZ,Precise Defeat
FPX,FunPlus Phoenix
SEN,Sentinels
OME,Team Omega
DRG,Dragon Ranger Gaming
100T,100 Thieves
GOA,Glory Once Again
INTL,Team International
