tournament,stage,match_type,map,agent,total_wins_by_map,total_loss_by_map,total_maps_played,team_id
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,sova,1,0,1,8185
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,yoru,1,0,1,
Valorant Champions 2025,Playoffs,Lower Round 1,Abyss,chamber,0,1,1,11058
Valorant Champions 2025,Group Stage,Opening (B),Haven,viper,1,0,1,7386
Valorant Champions 2025,All Stages,All Match Types,Haven,killjoy,1,0,1,13581
Valorant Champions 2025,All Stages,All Match Types,Lotus,neon,1,2,3,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,Ascent,omen,1,0,1,14
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Ascent,sova,1,0,1,11060
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Haven,vyse,2,0,2,624
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Bind,brimstone,1,0,1,624
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Haven,neon,1,0,1,14
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Bind,waylay,0,2,4,878
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Corrode,omen,0,2,2,6199
VCT 2025: China Stage 2,Playoffs,Upper Final,Lotus,raze,1,0,1,12010
VCT 2025: China Stage 2,Playoffs,Lower Round 1,Haven,killjoy,1,0,1,11328
VCT 2025: China Stage 2,Playoffs,Lower Final,Haven,breach,1,0,1,12010
VCT 2025: China Stage 2,Group Stage,Week 1,Sunset,cypher,0,1,1,13790
VCT 2025: China Stage 2,Group Stage,Week 1,Lotus,vyse,1,0,1,12010
VCT 2025: China Stage 2,Group Stage,Week 1,Lotus,omen,0,1,1,731
VCT 2025: China Stage 2,Group Stage,Week 2,Icebox,sova,0,1,1,13576
VCT 2025: China Stage 2,Group Stage,Week 2,Icebox,killjoy,1,0,1,12010
VCT 2025: China Stage 2,All Stages,All Match Types,Sunset,omen,0,1,1,12064
VCT 2025: China Stage 2,All Stages,All Match Types,Corrode,omen,2,1,3,1119
VCT 2025: China Stage 2,All Stages,All Match Types,Bind,raze,3,1,4,12010
VCT 2025: China Stage 2,All Stages,All Match Types,Ascent,sova,0,2,2,1119
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,cypher,3,1,4,12010
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,Ascent,tejo,1,0,1,397
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,Sunset,yoru,0,1,1,474
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Bind,astra,0,1,1,14419
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,Bind,viper,0,1,1,397
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Sunset,phoenix,0,1,1,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Corrode,gekko,0,1,1,397
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Lotus,breach,1,0,1,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,viper,1,0,1,7035
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Corrode,viper,0,1,2,397
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,tejo,4,1,5,2593
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Haven,neon,3,2,5,14419
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Corrode,viper,0,1,1,2359
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Sunset,neon,0,1,1,120
VCT 2025: Americas Stage 2,Group Stage,Week 3,Haven,fade,1,0,1,11058
VCT 2025: Americas Stage 2,Group Stage,Week 5,Lotus,viper,1,0,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 5,Corrode,neon,1,0,1,5248
VCT 2025: Americas Stage 2,All Stages,All Match Types,Icebox,sova,2,0,2,7386
VCT 2025: Americas Stage 2,All Stages,All Match Types,Lotus,yoru,0,2,2,7386
Valorant Masters Toronto 2025,Playoffs,Grand Final,Pearl,sova,0,1,1,2593
Valorant Masters Toronto 2025,Playoffs,Grand Final,Pearl,killjoy,0,1,1,2593
Valorant Masters Toronto 2025,All Stages,All Match Types,Lotus,cypher,0,1,1,13581
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Haven,yoru,1,0,1,474
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Pearl,fade,1,1,2,1184
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Pearl,tejo,1,0,1,11060
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Icebox,tejo,1,0,1,466
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,waylay,1,0,3,624
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,jett,0,1,1,11060
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,kayo,1,1,2,6199
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Ascent,jett,1,0,1,6199
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Icebox,killjoy,1,0,1,13790
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Lotus,yoru,1,0,1,13581
VCT 2025: China Stage 1,Group Stage,Week 1,Fracture,breach,1,0,1,12010
