tournament,stage,match_type,match_name,map,elimination,detonated,defused,time_expiry_no_plant,eliminated,defused_failed,detonation_denied,time_expiry_failed_to_plant,team_id
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Sunset,8,0,3,2,3,0,1,0,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,1,0,0,2,10,2,1,0,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,11,1,0,1,6,2,3,0,397
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Ascent,8,1,1,0,8,1,4,0,12694
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Bind,7,0,3,1,10,0,2,1,2059
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,Lotus,8,0,2,0,11,2,0,0,466
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,Haven,6,0,3,0,8,1,2,2,278
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,Icebox,3,0,0,0,8,1,2,2,1120
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Ascent,9,3,0,1,5,2,3,0,14419
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,BBL Esports vs FUT Esports,Split,1,1,0,0,11,0,1,1,1184
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Lotus,8,3,2,0,6,1,1,0,17
VCT 2025: China Stage 1,Group Stage,Week 5,Wolves Esports vs All Gamers,Lotus,5,0,1,0,11,1,1,0,1119
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,Split,3,1,2,1,10,2,1,0,2359
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Split,6,0,3,2,8,2,1,2,7386
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,8,1,5,0,7,2,3,0,14419
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,9,1,1,2,5,2,3,0,474
