player_name,popularity_score,reputation_score,videos_found,total_views,average_engagement_rate,comment_count,article_count
ara,75.74,71.49,30,32459308,0.025207831394692667,182,7
Boaster,48.83,77.46,30,19828003,0.02667771380545245,379,31
f0rsakeN,39.24,77.77,30,15317800,0.02725895120553224,355,32
Cloud,32.89,68.92,30,12803431,0.02321599724833607,400,16
Coco,30.02,56.04,30,10873,0.131822285092022,45,0
Zellsis,27.27,65.19,30,9108292,0.03351307759384016,325,4
Demon1,27.08,76.72,29,10189073,0.02242912640922527,355,6
Asuna,24.22,74.76,30,8479729,0.026077753193702438,350,4
something,22.68,73.34,30,8771708,0.01653489559446892,343,75
saadhak,22.06,74.14,30,4232170,0.0568263302713757,263,4
Meiy,21.56,50.59,30,7960813,0.019285511397222562,312,0
t3xture,19.26,79.22,30,6871801,0.019505919973733677,299,4
Jinggg,18.26,78.77,30,6449162,0.019120027140030374,215,14
OLIZERA,18.06,51.31,30,47186,0.07889374547582645,18,0
Wo0t,16.44,73.73,30,5520822,0.0199313485905259,286,7
aspas,16.18,72.36,30,2917001,0.043436507559755214,311,23
dgzin,16.08,49.71,30,775700,0.06330759054177994,187,0
AvovA,15.99,51.24,30,1952457,0.05173853541719204,174,0
zekken,15.73,74.98,30,3661918,0.03442250543341782,211,15
tuyz,15.34,50.49,30,1688131,0.051402522714595895,314,0
neT,15.08,76.65,30,4290628,0.02560750817974874,158,4
keznit,15.06,76.06,30,2957551,0.03816640620253388,269,1
d4v41,15.05,73.07,30,4871065,0.019988184975649123,148,13
stax,14.75,77.06,30,4514473,0.022053829402594982,334,7
cNed,14.59,75.8,30,3975061,0.02644692194814232,306,2
benjyfishy,14.5,78.69,30,4079685,0.02506006415349981,321,4
ZmjjKK,14.41,60.32,30,4594420,0.01978745295298331,316,8
CLZ,14.41,50.01,30,5280271,0.01327146190378189,221,0
nAts,13.83,78.59,30,2766108,0.03455800406947783,275,16
pryze,13.59,48.04,30,111459,0.058661677655117296,109,0
s0m,13.53,75.16,30,3298285,0.028216818696860924,293,15
Monyet,13.43,75.13,30,3730652,0.02368262427563377,242,4
Less,12.75,74.68,30,1716198,0.03974613609719968,233,19
johnqt,12.52,78.68,30,2622765,0.03018079356929731,239,8
Xeppaa,12.46,53.72,30,3558433,0.02103408437084449,198,0
KovaQ,12.19,53.67,30,1067245,0.04346990459200299,90,0
MOLSI,11.99,52.81,30,35362,0.05236903966138299,56,0
Lsn,11.98,51.58,30,55142,0.05211829024173219,35,0
brawk,11.89,75.59,30,3161330,0.02228911487048279,258,23
mada,11.85,72.88,30,2528377,0.028130851225051382,132,16
Scales,11.81,50.94,30,72723,0.05119011957271755,36,0
Alfajer,11.79,76.75,30,3298789,0.02054099089042503,173,24
ANGE1,11.54,76.82,30,2772717,0.024419365220843002,269,8
marteen,11.54,52.98,30,2681110,0.025322853684802037,287,0
cortezia,11.36,74.17,30,1124129,0.039265599302776226,218,7
skuba,11.22,74.19,30,2310825,0.027391887701891226,271,13
LuoK1ng,11.21,54.61,30,85206,0.04844297829873802,65,0
MONSTEERR,11.18,50.32,30,169991,0.047510346808786894,84,0
bang,11.11,78.07,30,2709301,0.023135724564826397,220,20
Sato,10.9,76.17,30,1110474,0.037383137597012776,125,1
adverso,10.89,50.32,30,283834,0.04515395119106368,145,0
gobera,10.85,49.48,30,28816,0.04740318003142442,38,0
artzin,10.57,74.56,30,589305,0.04086984090747426,221,4
Veqaj,10.55,75.91,30,2491414,0.022763313370846822,137,2
Viva,10.51,56.94,30,923043,0.03744752333530058,188,0
Melser,10.47,50.55,30,338841,0.04280136134680578,45,0
leaf,10.45,75.43,30,2371950,0.02343520758490988,273,10
xenom,10.18,74.46,30,361562,0.04131066812713294,123,2
Ethan,10.16,75.07,30,2164185,0.024132494057311382,288,17
jawgemo,10.14,77.18,30,1646403,0.028940504413668026,158,12
alexiiik,10.09,78.71,30,157648,0.042825563128521635,51,4
gyen,10.09,50.86,30,2969543,0.01620997555778854,333,0
valyn,10.04,79.26,30,2152121,0.023744815499310293,294,7
baddyG,9.95,49.59,30,80116,0.04294568584418063,27,0
trent,9.82,78.64,30,2194900,0.022342093329337454,267,5
paTiTek,9.8,76.43,30,971710,0.033842487414552654,335,5
Urango,9.69,51.24,30,545255,0.037423822379791714,167,0
kaajak,9.41,75.78,30,2346782,0.019105361011761406,215,27
PatMen,9.34,76.98,30,2429596,0.018009790122577488,270,20
Meteor,9.21,75.11,30,2222715,0.019385985470025856,240,12
Jamppi,9.19,71.65,30,1324650,0.02784908204230365,168,5
hiro,8.95,75.01,30,1178257,0.028156133610334724,73,6
JonahP,8.88,80,30,1166511,0.027945797942230007,152,5
crazyguy,8.85,74.93,30,1951249,0.020407355437710734,104,3
N4RRATE,8.73,66.53,30,1778842,0.021493126183765546,82,4
nobody,8.65,70.41,30,1414902,0.024608060381960235,264,14
SUYGETSU,8.64,73.93,29,1894246,0.020028909215513507,287,2
RieNs,8.53,74.99,30,970168,0.028277245824160475,56,6
Levius,8.45,50,30,114196,0.03603507236980514,3,0
Chronicle,8.4,78.73,30,1550454,0.022217482882561906,248,31
MiniBoo,8.39,77.97,30,1003401,0.027351795979797342,216,8
doma,8.33,64.44,30,1566481,0.021773630119280858,237,4
BuZz,8.27,73.62,30,1396981,0.023111287408161544,249,18
Verno,8.21,77.54,30,1366894,0.023134297374516277,242,11
UNFAKE,8.17,54.61,30,1037946,0.026073165655480682,18,0
Derrek,8.09,80.84,30,1021169,0.02586031763120172,244,2
rushia,7.96,53.19,30,1446674,0.02126341964151075,151,0
Kess,7.94,53.98,30,299931,0.03205145761709262,141,0
crashies,7.94,75.85,30,1287569,0.022701322528245225,138,21
sociablEE,7.85,75.62,30,898247,0.026001927579641357,71,3
DH,7.79,74.74,30,1540359,0.019632264474204922,125,3
CHICHOO,7.77,68.41,30,1304799,0.021774968771685953,91,4
coconut,7.74,78.56,30,101660,0.033045449119951935,47,1
keiko,7.65,74.97,30,752155,0.026469467093312507,99,8
Minny,7.63,52.48,30,264564,0.03101148419670781,130,0
Flashback,7.52,70.28,30,1519205,0.018653964055160743,281,8
Avez,7.48,52.11,30,954958,0.023802740992983032,253,0
Smoggy,7.42,64.64,30,1179600,0.021429622883141566,170,3
Xdll,7.41,49.93,30,1711510,0.016329755138160144,201,0
AtaKaptan,7.38,51.1,30,975375,0.02317904279691831,125,0
Knight,7.36,75.73,30,986476,0.02300101948386886,98,8
xeus,7.31,52.82,30,854202,0.024019008648227792,188,0
C0M,7.25,79.74,30,528714,0.026831777017989198,54,6
Foxy9,7.08,75.46,30,1075539,0.020913459886566302,223,1
Proxh,7.02,52.3,30,1130491,0.020151461795910715,104,0
iZu,7.01,50.59,30,1208620,0.019331650529053397,183,0
flyuh,6.95,79.41,30,222835,0.028448899841188712,220,1
yoman,6.95,73.91,30,803223,0.022931407320711805,67,2
invy,6.89,78.2,30,1645210,0.01470013234532395,111,1
Jemkin,6.82,76.31,30,1148033,0.019078065006866585,166,8
trexx,6.8,78.86,30,808051,0.022208599780073855,117,4
Flex1n,6.79,50,30,16546,0.02966203078115918,1,0
free1ng,6.72,49.83,30,959704,0.020452086790376637,92,0
Kushy,6.5,50.47,30,1108645,0.018052123039850595,59,0
kamo,6.19,74.56,30,583652,0.021678263095439763,144,1
grubinho,6.14,61.04,30,78047,0.02622985949045741,9,3
HYUNMIN,6.07,74.29,30,1103028,0.016203692288057507,118,11
