Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,omen,95%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,yoru,60%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,viper,55%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,sova,55%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,vyse,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,fade,45%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,raze,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,neon,20%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,waylay,20%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,cypher,20%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,killjoy,15%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,sage,10%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,tejo,10%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,kayo,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,breach,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,chamber,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,astra,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,jett,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,iso,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,harbor,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,gekko,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,reyna,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,skye,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,clove,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,omen,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,yoru,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,viper,67%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,sova,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,vyse,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,fade,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,raze,67%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,neon,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,waylay,17%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,cypher,17%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,killjoy,17%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,sage,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,tejo,17%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,kayo,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,breach,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,chamber,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,astra,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,jett,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,iso,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,harbor,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,gekko,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,reyna,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,skye,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,deadlock,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,clove,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,brimstone,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,omen,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,yoru,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,viper,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,sova,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,vyse,100%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,fade,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,raze,0%
