Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,10,62%,38%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,3,56%,44%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,2,67%,33%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,2,58%,42%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,2,84%,16%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Sunset,1,37%,63%
Valorant Champions 2025,Playoffs,Upper Semifinals,All Maps,6,39%,61%
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,2,38%,62%
Valorant Champions 2025,Playoffs,Upper Semifinals,Abyss,1,50%,50%
Valorant Champions 2025,Playoffs,Upper Semifinals,Bind,1,35%,65%
Valorant Champions 2025,Playoffs,Upper Semifinals,Corrode,1,58%,42%
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,1,14%,86%
Valorant Champions 2025,Playoffs,Upper Final,All Maps,2,55%,45%
Valorant Champions 2025,Playoffs,Upper Final,Abyss,1,83%,17%
Valorant Champions 2025,Playoffs,Upper Final,Ascent,1,33%,67%
Valorant Champions 2025,Playoffs,Grand Final,All Maps,5,45%,55%
Valorant Champions 2025,Playoffs,Grand Final,Abyss,1,8%,92%
Valorant Champions 2025,Playoffs,Grand Final,Ascent,1,57%,43%
Valorant Champions 2025,Playoffs,Grand Final,Corrode,1,44%,56%
Valorant Champions 2025,Playoffs,Grand Final,Lotus,1,63%,37%
Valorant Champions 2025,Playoffs,Grand Final,Sunset,1,61%,39%
Valorant Champions 2025,Playoffs,Lower Round 1,All Maps,6,47%,53%
Valorant Champions 2025,Playoffs,Lower Round 1,Lotus,2,56%,44%
Valorant Champions 2025,Playoffs,Lower Round 1,Bind,2,29%,71%
Valorant Champions 2025,Playoffs,Lower Round 1,Abyss,1,61%,39%
Valorant Champions 2025,Playoffs,Lower Round 1,Ascent,1,53%,47%
Valorant Champions 2025,Playoffs,Lower Round 2,All Maps,6,47%,53%
Valorant Champions 2025,Playoffs,Lower Round 2,Ascent,2,65%,35%
Valorant Champions 2025,Playoffs,Lower Round 2,Bind,2,44%,56%
Valorant Champions 2025,Playoffs,Lower Round 2,Lotus,1,47%,53%
Valorant Champions 2025,Playoffs,Lower Round 2,Sunset,1,17%,83%
Valorant Champions 2025,Playoffs,Lower Round 3,All Maps,2,36%,64%
Valorant Champions 2025,Playoffs,Lower Round 3,Lotus,1,48%,52%
Valorant Champions 2025,Playoffs,Lower Round 3,Ascent,1,25%,75%
Valorant Champions 2025,Playoffs,Lower Final,All Maps,4,60%,40%
Valorant Champions 2025,Playoffs,Lower Final,Bind,1,71%,29%
Valorant Champions 2025,Playoffs,Lower Final,Corrode,1,81%,19%
Valorant Champions 2025,Playoffs,Lower Final,Haven,1,54%,46%
Valorant Champions 2025,Playoffs,Lower Final,Sunset,1,43%,57%
Valorant Champions 2025,Group Stage,Opening (A),All Maps,5,51%,49%
Valorant Champions 2025,Group Stage,Opening (A),Sunset,2,40%,60%
Valorant Champions 2025,Group Stage,Opening (A),Bind,1,59%,41%
Valorant Champions 2025,Group Stage,Opening (A),Corrode,1,32%,68%
Valorant Champions 2025,Group Stage,Opening (A),Haven,1,77%,23%
Valorant Champions 2025,Group Stage,Winner's (A),All Maps,3,47%,53%
Valorant Champions 2025,Group Stage,Winner's (A),Lotus,1,61%,39%
Valorant Champions 2025,Group Stage,Winner's (A),Ascent,1,38%,63%
Valorant Champions 2025,Group Stage,Winner's (A),Sunset,1,42%,58%
Valorant Champions 2025,Group Stage,Elimination (A),All Maps,3,57%,43%
Valorant Champions 2025,Group Stage,Elimination (A),Haven,1,48%,52%
Valorant Champions 2025,Group Stage,Elimination (A),Abyss,1,52%,48%
Valorant Champions 2025,Group Stage,Elimination (A),Lotus,1,71%,29%
Valorant Champions 2025,Group Stage,Decider (A),All Maps,2,51%,49%
Valorant Champions 2025,Group Stage,Decider (A),Ascent,1,35%,65%
Valorant Champions 2025,Group Stage,Decider (A),Bind,1,67%,33%
Valorant Champions 2025,Group Stage,Opening (B),All Maps,4,55%,45%
Valorant Champions 2025,Group Stage,Opening (B),Abyss,1,75%,25%
Valorant Champions 2025,Group Stage,Opening (B),Ascent,1,52%,48%
Valorant Champions 2025,Group Stage,Opening (B),Corrode,1,32%,68%
Valorant Champions 2025,Group Stage,Opening (B),Haven,1,67%,33%
Valorant Champions 2025,Group Stage,Winner's (B),All Maps,3,51%,49%
Valorant Champions 2025,Group Stage,Winner's (B),Abyss,1,75%,25%
Valorant Champions 2025,Group Stage,Winner's (B),Bind,1,39%,61%
Valorant Champions 2025,Group Stage,Winner's (B),Haven,1,39%,61%
Valorant Champions 2025,Group Stage,Elimination (B),All Maps,3,45%,55%
Valorant Champions 2025,Group Stage,Elimination (B),Lotus,1,52%,48%
Valorant Champions 2025,Group Stage,Elimination (B),Abyss,1,47%,53%
Valorant Champions 2025,Group Stage,Elimination (B),Sunset,1,35%,65%
Valorant Champions 2025,Group Stage,Decider (B),All Maps,2,56%,44%
Valorant Champions 2025,Group Stage,Decider (B),Abyss,1,50%,50%
Valorant Champions 2025,Group Stage,Decider (B),Corrode,1,61%,39%
Valorant Champions 2025,Group Stage,Opening (C),All Maps,4,55%,45%
