Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,FNATIC,omen,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,FNATIC,yoru,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,FNATIC,viper,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,FNATIC,sova,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,FNATIC,killjoy,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,DRX,omen,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,DRX,sova,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,DRX,neon,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,DRX,waylay,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,DRX,cypher,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,Mega Minors,omen,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,Mega Minors,viper,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,Mega Minors,sova,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,Mega Minors,neon,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,Mega Minors,killjoy,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,GIANTX,omen,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,GIANTX,sova,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,GIANTX,neon,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,GIANTX,cypher,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,GIANTX,breach,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,FNATIC,omen,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,FNATIC,yoru,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,FNATIC,sova,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,FNATIC,vyse,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,FNATIC,sage,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,DRX,omen,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,DRX,yoru,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,DRX,sova,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,DRX,vyse,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,DRX,waylay,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,Paper Rex,omen,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,Paper Rex,yoru,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,Paper Rex,sova,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,Paper Rex,vyse,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,Paper Rex,sage,1,0,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,G2 Esports,omen,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,G2 Esports,yoru,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,G2 Esports,sova,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,G2 Esports,vyse,0,1,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,G2 Esports,chamber,0,1,1
