Team,Team ID
Paper Rex,624
Xi Lai Gaming,13581
GIANTX,14419
Sentinels,2
NRG,1034
EDward Gaming,1120
Team Liquid,474
DRX,8185
Dragon Ranger Gaming,11981
T1,14
G2 Esports,11058
Team Heretics,1001
Bilibili Gaming,12010
MIBR,7386
Rex Regum Qeon,878
FNATIC,2593
Cloud9,188
FURIA,2406
LEVIATÁN,2359
LOUD,6961
Evil Geniuses,5248
2Game Esports,15072
KRÜ Esports,2355
100 Thieves,120
Team Alpha,19707
Team Omega,19708
Natus Vincere,4915
Apeks,11479
Team Vitality,2059
FUT Esports,1184
Gentle Mates,12694
KOI,7035
BBL Esports,397
Karmine Corp,8877
Team France,19721
Team EMEA,19722
BOOM Esports,466
TALON,8304
Nongshim RedForce,11060
Team Secret,6199
Gen.G,17
Global Esports,918
ZETA DIVISION,5448
DetonatioN FocusMe,278
Team World,19550
Glory Once Again,19507
Titan Esports Club,14137
TYLOO,731
All Gamers,1119
Wolves Esports,13790
FunPlus Phoenix,11328
Nova Esports,12064
JDG Esports,13576
Trace Esports,12685
Pure Aim,19687
Precise Defeat,19688
Team International,15315
Team Thailand,17715
