player_name,search_query,video_id,video_title,channel_name,published_at,view_count,like_count,comment_count,engagement_rate
TenZ,"""TenZ"" Valorant",_qRxvsxHgEg,50 Times TENZ Proved He's The BEST In The Game,floz,2025-02-05T03:23:11Z,2408871,25654,454,0.010838272369089089
TenZ,"""TenZ"" Valorant",ur5ltMYTbys,TenZ SHOWS WHY HE HAS THE BEST JETT !!!,TenZ,2026-07-20T11:00:18Z,126752,3581,87,0.0289383993940924
TenZ,"""TenZ"" Valorant",30gjSP_YyA4,TenZ SHOWS HOW HE REALLY PLAYS REYNA !!!,TenZ,2026-07-13T11:00:26Z,182757,5770,150,0.03239274008656303
TenZ,"""TenZ"" Valorant",NEaH4KdToJ4,he was sweating #valorant #valorantclips #tenz #asuna,TenZ,2024-02-27T19:00:18Z,2548845,160252,511,0.06307288203088066
TenZ,"""TenZ"" Valorant",GTkP0L4kRpE,Tenz Insane Iso Ace😳 #TenZ #Valorant,Best Of Benz,2024-10-04T18:12:22Z,535732,7078,25,0.013258494919101341
TenZ,"""TenZ"" Valorant",hz6UkPNNCIc,THIS IS THE EASIEST WAY TO RADIANT... | TenZ,TenZ,2026-07-04T11:00:23Z,165544,4546,88,0.027992557869811047
TenZ,"""TenZ"" Valorant",jKlS742OWTI,TENZ PLAYING REYNA IS A CHEAT !!!,TenZ Replay,2026-04-07T13:01:22Z,291752,5774,79,0.02006155913241383
TenZ,"""TenZ"" Valorant",793qx_bVULs,0.01ms Flick | TenZ,Val Archives,2025-07-18T04:35:10Z,3022200,61054,242,0.020281913837601747
TenZ,"""TenZ"" Valorant",y8VrNRXWovI,Jynxzi Challenged TenZ in a Valorant 1v1...,TenZ,2026-03-19T18:30:00Z,834926,27818,516,0.033935941628359875
Boaster,"""Boaster"" Valorant",zL5XHtYS6o4,BOASTER'S IGL TIPS #shorts #boaster #tip,FNATIC Valorant,2023-08-18T10:00:48Z,735300,35946,205,0.049164966680266556
Boaster,"""Boaster"" Valorant",KVgsDp9pB64,Boaster shows why he is FNATICs IGL,Flash TWITCH Clips,2022-03-02T22:45:47Z,320672,5385,146,0.0172481538768586
Boaster,"""Boaster"" Valorant",MMJsfG7thdQ,Boaster being the funniest Valorant player for 14 minutes straight,OneShotMa,2025-10-16T17:16:42Z,4333,97,6,0.02377105931225479
Boaster,"""Boaster"" Valorant",F12AwIyNFh4,Boaster TROLLS EVERYONE IN VCT #shorts #valorant #valorantshorts #boaster,valobloo,2023-07-21T18:11:25Z,12005772,516765,486,0.04308352682359785
Boaster,"""Boaster"" Valorant",jd_ZUDGvHsA,Boaster BRUTALLY Ranks Every Valorant Player,Esports Spotlight,2026-04-28T15:05:43Z,106654,2947,200,0.029506628912183322
Boaster,"""Boaster"" Valorant",8kIBZBnHgIg,Play got Boaster falling out of his chair 😂 #valorant #valorantchampions #shorts,VALORANT Champions Tour,2025-10-04T15:15:29Z,318573,7655,39,0.024151450374011608
